game_id,game,round,phase,season_code,team_id_a,team_id_b,fast_break_points_a,fast_break_points_b,turnover_points_a,turnover_points_b,second_chance_points_a,second_chance_points_b,defensive_rebounds_a,offensive_rebounds_b,offensive_rebounds_a,defensive_rebounds_b,turnovers_starters_a,turnovers_bench_a,turnovers_starters_b,turnovers_bench_b,steals_starters_a,steals_bench_a,steals_starters_b,steals_bench_b,assists_starters_a,assists_bench_a,assists_starters_b,assists_bench_b,points_starters_a,points_bench_a,points_starters_b,points_bench_b,max_a,minute_prev_a,prev_a,minute_str_a,str_a,max_b,minute_prev_b,prev_b,minute_str_b,str_b,max_lead_a,max_lead_b,minute_max_lead_a,minute_max_lead_b,points_max_lead_a,points_max_lead_b
E2016_118,BAR-DAR,15,REGULAR SEASON,E2016,BAR,DAR,3,9,12,6,8,11,21,17,8,19,4,9,6,6,6,2,4,4,15,7,8,4,50,31,43,34,14,20,35-40,24,49-40,10,26,53-47,29,53-57,9,7,24,5,51-42,6-13
E2016_119,GAL-BAM,15,REGULAR SEASON,E2016,GAL,BAM,1,2,9,12,14,17,18,14,14,28,8,2,10,5,4,2,4,0,17,4,11,7,38,37,46,44,8,19,36-47,22,44-47,13,23,45-49,26,45-62,3,25,1,31,3-0,52-77
E2016_120,UNK-PAN,15,REGULAR SEASON,E2016,UNK,PAN,0,0,16,13,10,9,24,12,8,20,6,4,4,4,1,3,4,1,8,7,12,5,53,30,49,32,7,25,44-56,26,51-56,7,19,35-42,22,35-49,5,14,40,22,83-78,38-52
E2016_121,IST-GAL,16,REGULAR SEASON,E2016,IST,GAL,4,5,16,8,16,2,23,7,16,25,6,5,10,5,4,6,0,2,8,10,13,5,59,25,43,30,7,27,55-52,28,62-52,6,11,24-18,13,24-24,12,3,31,1,71-59,0-3
E2016_122,BAM-BAR,16,REGULAR SEASON,E2016,BAM,BAR,5,9,21,10,11,7,23,6,7,22,5,6,12,6,5,4,5,4,10,11,10,2,46,39,38,27,10,23,44-35,26,54-35,10,29,59-43,33,59-53,20,4,27,7,56-36,11-15
E2016_123,BAS-UNK,16,REGULAR SEASON,E2016,BAS,UNK,11,0,29,5,12,11,21,13,11,17,6,5,9,10,4,5,1,4,15,12,9,3,40,62,46,24,8,16,38-26,17,46-26,4,17,46-26,18,46-30,35,0,36,0,91-56,
E2016_124,TEL-DAR,16,REGULAR SEASON,E2016,TEL,DAR,7,15,3,18,6,24,26,21,6,24,6,4,1,4,2,2,4,2,15,8,14,8,50,43,44,48,12,8,19-14,11,31-14,9,30,67-65,31,67-74,17,7,11,31,31-14,67-74
E2016_125,ULK-MIL,16,REGULAR SEASON,E2016,ULK,MIL,9,4,21,9,7,12,24,11,9,17,8,6,6,10,5,4,4,6,8,12,8,11,56,30,41,38,7,16,30-32,18,37-32,7,22,44-43,24,44-50,7,6,19,24,41-34,44-50
E2016_126,OLY-PAN,16,REGULAR SEASON,E2016,OLY,PAN,21,12,13,18,6,4,28,8,9,21,13,6,7,8,4,5,9,6,9,7,5,4,36,41,19,50,10,27,45-48,30,55-48,7,34,65-55,35,65-62,12,4,39,2,77-65,0-4
E2016_127,MAD-CSK,16,REGULAR SEASON,E2016,MAD,CSK,2,0,20,12,17,10,18,7,16,18,7,7,8,8,7,3,2,1,14,11,5,9,64,31,45,40,8,1,0-2,3,8-2,6,20,50-42,21,50-48,10,2,40,14,95-85,30-32
